split,split_type,holdout,model,calibrated,metric,estimate,ci_low,ci_high,n_bootstrap,valid_bootstraps,confidence
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,False,brier,0.20666138159671385,0.20033550720501175,0.21423511269920154,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,True,auprc,0.7218000961945887,0.6950142819054462,0.7497599458507022,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,True,auroc,0.7459574999999999,0.727795944342974,0.7653471623971017,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,True,ece,0.05301479817964282,0.04099353418007127,0.07213660323796922,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,gc_artifact_logreg,True,brier,0.20643443105489168,0.1986455727321037,0.21254488224556115,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,False,auprc,0.7320517682607338,0.7063447222746898,0.7593009193050264,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,False,auroc,0.735458,0.713936847954137,0.753515375279846,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,False,ece,0.15100279710274503,0.13471464771092528,0.17529462223465556,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,False,brier,0.23444196671157624,0.22246664158252555,0.24729316012858865,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,True,auprc,0.7320517682607338,0.7021106234709334,0.7610122044072514,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,True,auroc,0.735458,0.7156110069579656,0.7584255803322607,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,True,ece,0.05255415831199382,0.0434009354416758,0.07585575947481053,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_logreg,True,brier,0.21022439949692295,0.20112973993697217,0.2180857955032067,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,False,auprc,0.7334928835737466,0.7049610315635944,0.7670015456553579,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,False,auroc,0.736097,0.7124676302119769,0.7594299791208902,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,False,ece,0.15218074338995344,0.13840315313987406,0.17875691087536766,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,False,brier,0.2348872230399474,0.22051173142961006,0.2496070124282303,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,True,auprc,0.7334928835737466,0.7001963110596154,0.7643565185468837,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,True,auroc,0.736097,0.7117982280092913,0.758819860558347,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,True,ece,0.055965090073362894,0.04529561633817335,0.0786048673573288,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,kmer_metadata_logreg,True,brier,0.21031463428631295,0.20075053358257505,0.22039547937287038,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,False,auprc,0.7844943764965129,0.7541996006308636,0.8115996183652906,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,False,auroc,0.8063779999999999,0.7863285867845599,0.823996988222792,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,False,ece,0.035522938112728296,0.03154790846841642,0.06010442307714839,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,False,brier,0.1801235255057626,0.17119201207621762,0.19070146720447356,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,True,auprc,0.7844943764965129,0.7477393921481528,0.8109236827868787,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,True,auroc,0.8063779999999999,0.7833282621161293,0.8254525850793756,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,True,ece,0.02892594762950763,0.028047562130569706,0.05808480533239571,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,tiny_cnn,True,brier,0.17970179047204982,0.17038327987527982,0.1911764519120585,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,False,auprc,0.7667785587648343,0.7365116231356182,0.7900956281085056,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,False,auroc,0.804919,0.7875685964910863,0.8252728042504671,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,False,ece,0.09081008313439816,0.07908528408790826,0.11407124266533591,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,False,brier,0.18744498620226788,0.17422106117835146,0.19855233886247659,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,True,auprc,0.7667785587648343,0.7391738315963552,0.8008805579917292,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,True,auroc,0.804919,0.7836637347507812,0.8198065576007727,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,True,ece,0.023633179708487457,0.02528426988380662,0.05143323890805909,100,100,0.95
family_heldout_zinc_finger,tf_family,zinc_finger,axis_guard_cnn,True,brier,0.1789903744297373,0.1713159314318362,0.1892874237087037,100,100,0.95
