seed,split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
17,lab_heldout_haib,axis_guard_no_resid,False,0.2,390.0,0.2692307692307692,0.1772528196399453,0.08208575337552108,0.7528487886382624,0.47288376497714774
17,lab_heldout_haib,axis_guard_no_resid,True,1.0,1952.0,0.5122950819672131,0.23205221971110163,0.10757773752319734,0.679765756302521,0.6214520364186483
17,lab_heldout_haib,axis_guard_no_resid,True,0.8,1562.0,0.48655569782330343,0.22781467954424545,0.10527807669190892,0.6963856805355033,0.6111499950639316
17,lab_heldout_haib,axis_guard_no_resid,True,0.6,1171.0,0.44150298889837747,0.21915496361944103,0.09504621912961823,0.7079481127890264,0.5835647482579515
17,lab_heldout_haib,axis_guard_no_resid,True,0.4,781.0,0.37900128040973113,0.21266188596828378,0.09792186056101085,0.7271036500417943,0.548343190024364
17,lab_heldout_haib,axis_guard_no_resid,True,0.2,390.0,0.28974358974358977,0.18133572619853977,0.09068844698544394,0.7653429602888087,0.5001553154951753
17,lab_heldout_haib,axis_guard_no_adv,False,1.0,1952.0,0.5122950819672131,0.23312380889856602,0.11437147679227236,0.6802710084033614,0.6219780380617921
17,lab_heldout_haib,axis_guard_no_adv,False,0.8,1562.0,0.4820742637644046,0.22899636519764127,0.10922040748105846,0.6941168166230832,0.6069493025843562
17,lab_heldout_haib,axis_guard_no_adv,False,0.6,1171.0,0.426131511528608,0.22077495665626787,0.08950174838164542,0.701170197537933,0.5694074693768063
17,lab_heldout_haib,axis_guard_no_adv,False,0.4,781.0,0.36107554417413573,0.21160381202614997,0.09538030473183885,0.716894782472747,0.5294450027451841
17,lab_heldout_haib,axis_guard_no_adv,False,0.2,390.0,0.26666666666666666,0.17615164487961338,0.08336697823535173,0.7510422270037656,0.47254418318830044
17,lab_heldout_haib,axis_guard_no_adv,True,1.0,1952.0,0.5122950819672131,0.23274188921445899,0.11370749818467077,0.6802710084033614,0.6219780380617921
17,lab_heldout_haib,axis_guard_no_adv,True,0.8,1562.0,0.4846350832266325,0.2289804059237008,0.11097796203913002,0.6954437670766429,0.6095044252252709
17,lab_heldout_haib,axis_guard_no_adv,True,0.6,1171.0,0.43467122117847995,0.22092049303667463,0.09833315863729003,0.7052065836098268,0.5778663190435442
17,lab_heldout_haib,axis_guard_no_adv,True,0.4,781.0,0.3713188220230474,0.21305030690494353,0.09753477848042674,0.7222557763887913,0.5404373431974544
17,lab_heldout_haib,axis_guard_no_adv,True,0.2,390.0,0.2794871794871795,0.18214619434274149,0.08957236252569353,0.7606190211890692,0.4920207750341116
17,lab_heldout_haib,axis_guard_full,False,1.0,1952.0,0.5122950819672131,0.23350354407198654,0.11625230888889525,0.6805913865546218,0.6225352744374397
17,lab_heldout_haib,axis_guard_full,False,0.8,1562.0,0.4827144686299616,0.2298552060351197,0.1123981344681734,0.6950980907109279,0.6083803101807894
17,lab_heldout_haib,axis_guard_full,False,0.6,1171.0,0.4269854824935952,0.22207233272009952,0.09333281384750781,0.7027511177347242,0.571204990379579
17,lab_heldout_haib,axis_guard_full,False,0.4,781.0,0.36107554417413573,0.21122394131835273,0.09812839989873572,0.7198865816739862,0.5317711860558682
17,lab_heldout_haib,axis_guard_full,False,0.2,390.0,0.26153846153846155,0.17740746977577124,0.09034143404509777,0.7512935729847494,0.46871705928439905
17,lab_heldout_haib,axis_guard_full,True,1.0,1952.0,0.5122950819672131,0.23259400999708857,0.11740014559887743,0.6805913865546218,0.6225352744374397
17,lab_heldout_haib,axis_guard_full,True,0.8,1562.0,0.4846350832266325,0.2285410752198717,0.11554819013138325,0.69616416551113,0.6103596751732266
17,lab_heldout_haib,axis_guard_full,True,0.6,1171.0,0.44150298889837747,0.22080390266236385,0.10941420491872257,0.7094120987347612,0.5853867146506225
17,lab_heldout_haib,axis_guard_full,True,0.4,781.0,0.3738796414852753,0.2111163232838443,0.09984521771896278,0.7264125836905062,0.5454069689871531
17,lab_heldout_haib,axis_guard_full,True,0.2,390.0,0.2743589743589744,0.17484035872611176,0.08870378766919743,0.7608071067666192,0.48804038854792153
23,lab_heldout_haib,tiny_cnn,False,1.0,1952.0,0.5122950819672131,0.22626902347488845,0.08448380814315601,0.6939978991596638,0.6437441249838567
23,lab_heldout_haib,tiny_cnn,False,0.8,1562.0,0.4833546734955186,0.2200933532081912,0.07269833723462348,0.7116357697957442,0.6359483685722885
23,lab_heldout_haib,tiny_cnn,False,0.6,1171.0,0.44235695986336465,0.21079228068436265,0.056822208043451915,0.7286565716887311,0.6210565311116989
23,lab_heldout_haib,tiny_cnn,False,0.4,781.0,0.4033290653008963,0.2006302051526939,0.06627534161990797,0.7497990326316506,0.6101802474831165
23,lab_heldout_haib,tiny_cnn,False,0.2,390.0,0.36153846153846153,0.18859854452331581,0.12065248974622825,0.7856959753909254,0.612788470392958
23,lab_heldout_haib,tiny_cnn,True,1.0,1952.0,0.5122950819672131,0.23060611081595708,0.10724762988035474,0.6939978991596638,0.6437441249838567
23,lab_heldout_haib,tiny_cnn,True,0.8,1562.0,0.47695262483994877,0.22570351610831918,0.0944409192656231,0.7090649207692246,0.6304775301013925
23,lab_heldout_haib,tiny_cnn,True,0.6,1171.0,0.43552519214346713,0.21515980978894295,0.08582524635340585,0.7260211800302572,0.6152112292368153
23,lab_heldout_haib,tiny_cnn,True,0.4,781.0,0.38412291933418696,0.20366377967116445,0.0851618131775428,0.7461191961191962,0.5971071614541781
23,lab_heldout_haib,tiny_cnn,True,0.2,390.0,0.3230769230769231,0.1875817057418034,0.10794779973803031,0.7819264069264069,0.5904853067984368
23,lab_heldout_haib,axis_guard_no_cf,False,1.0,1952.0,0.5122950819672131,0.2507924161482211,0.16075777033817204,0.6813245798319327,0.6258339485201689
23,lab_heldout_haib,axis_guard_no_cf,False,0.8,1562.0,0.4737516005121639,0.2510229944231941,0.1577539052504202,0.6902692838824226,0.6027507160537046
23,lab_heldout_haib,axis_guard_no_cf,False,0.6,1171.0,0.40478223740392827,0.24517637331006842,0.15192650451327266,0.6786347759233362,0.5383828468681381
23,lab_heldout_haib,axis_guard_no_cf,False,0.4,781.0,0.33034571062740076,0.22595675985714306,0.1348501333678272,0.6760564424088814,0.46848768850324296
23,lab_heldout_haib,axis_guard_no_cf,False,0.2,390.0,0.2205128205128205,0.17635562603792415,0.08598223414558631,0.6516600367197062,0.3214013965832779
23,lab_heldout_haib,axis_guard_no_cf,True,1.0,1952.0,0.5122950819672131,0.24362510821193978,0.14513115900190435,0.6813245798319327,0.6258339485201689
23,lab_heldout_haib,axis_guard_no_cf,True,0.8,1562.0,0.47759282970550576,0.24144899483472504,0.14265737713536847,0.6938738632182095,0.6083593555009302
23,lab_heldout_haib,axis_guard_no_cf,True,0.6,1171.0,0.4218616567036721,0.23609165008476582,0.13126638131515173,0.6964011266662281,0.5671644816798176
23,lab_heldout_haib,axis_guard_no_cf,True,0.4,781.0,0.3508322663252241,0.22182420008358095,0.126153787584722,0.7042139967462819,0.5195474738862669
