split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
species_heldout_mouse,kmer_logreg,True,0.8,1058.0,0.14650283553875237,0.11635372291564616,0.03762595773638265,0.6362804986961026,0.3117922314547438
species_heldout_mouse,kmer_logreg,True,0.6,794.0,0.11586901763224182,0.1031754229933904,0.03647022764007619,0.5729437631611545,0.14799501893208064
species_heldout_mouse,kmer_logreg,True,0.4,529.0,0.10207939508506617,0.09288314204870834,0.04354423702534809,0.5792592592592593,0.13762335217331814
species_heldout_mouse,kmer_logreg,True,0.2,265.0,0.09433962264150944,0.0876070487546378,0.05844662574641156,0.6711666666666666,0.2613597600110218
species_heldout_mouse,kmer_metadata_logreg,False,1.0,1323.0,0.21239606953892667,0.1951851189427201,0.1762766282542918,0.7423617325018272,0.4846869075476703
species_heldout_mouse,kmer_metadata_logreg,False,0.8,1058.0,0.19754253308128544,0.1809406034309298,0.16483054625677296,0.7572545240389763,0.5082041292518862
species_heldout_mouse,kmer_metadata_logreg,False,0.6,794.0,0.18639798488664988,0.1576135320563998,0.14999723907895562,0.7793176303238223,0.5424772257180991
species_heldout_mouse,kmer_metadata_logreg,False,0.4,529.0,0.1720226843100189,0.12909784025138804,0.1270056811659171,0.8142656430327663,0.5986588886785206
species_heldout_mouse,kmer_metadata_logreg,False,0.2,265.0,0.12075471698113208,0.04899426077530293,0.04852747616604589,0.8581008583690987,0.7049626123586594
species_heldout_mouse,kmer_metadata_logreg,True,1.0,1323.0,0.21239606953892667,0.14286051894958676,0.0409715720411497,0.7423617325018272,0.4846869075476703
species_heldout_mouse,kmer_metadata_logreg,True,0.8,1058.0,0.15595463137996218,0.1191272846558599,0.03727295909610194,0.6876107095591978,0.3709078902027824
species_heldout_mouse,kmer_metadata_logreg,True,0.6,794.0,0.11335012594458438,0.10017620929363079,0.03944276365445308,0.6108112373737373,0.14716519487058718
species_heldout_mouse,kmer_metadata_logreg,True,0.4,529.0,0.09073724007561437,0.08278093263305475,0.035097585481149586,0.6105769230769231,0.11437762406214992
